CustomerID,FirstName,LastName,PhoneNo,Email,Address
1,King,Izzy,0806 641 6517,KingIzzy@gmail.com,Jakpa
2,Zero,Degree,807 641 6517,ZeroDegree@gmail.com,Jakpa
3,Nyore,Nyore,808 641 6517,NyoreNyore@gmail.com,Jakpa
4,Amala,Spot,809 641 6517,AmalaSpot@gmail.com,Jakpa
5,Prechy,O.,810 641 6517,PrechyO.@gmail.com,Jakpa
6,Boss,Boss,811 641 6517,BossBoss@gmail.com,Opete
7,Wumi,Wumi,812 641 6517,WumiWumi@gmail.com,Jakpa
8,Jamiel,Jamiel,813 641 6517,JamielJamiel@gmail.com,Jakpa
9,Ese,Luxury,814 641 6517,EseLuxury@gmail.com,Jakpa
10,Coco,Coco,815 641 6517,CocoCoco@gmail.com,Jakpa
11,Akah,Kenedy,816 641 6517,AkahKenedy@gmail.com,Opete
12,Ify,Ify,817 641 6517,IfyIfy@gmail.com,Jakpa
13,Young,Kobz,818 641 6517,YoungKobz@gmail.com,Jakpa
14,Joyce,Joyce,819 641 6517,JoyceJoyce@gmail.com,Jakpa
15,Anita,O.,820 641 6517,AnitaO.@gmail.com,Jakpa
16,Destiny,J.,821 641 6517,DestinyJ.@gmail.com,Jakpa
17,Genesis,F.,822 641 6517,GenesisF.@gmail.com,Jakpa
18,Lauren,Lauren,823 641 6517,LaurenLauren@gmail.com,Jakpa
19,Joseph,Joseph,824 641 6517,JosephJoseph@gmail.com,Jakpa
20,Blessing,Blessing,825 641 6517,BlessingBlessing@gmail.com,Jakpa
21,Igbo,Man,826 641 6517,IgboMan@gmail.com,Jakpa
22,Chicken,Republic,827 641 6517,ChickenRepublic@gmail.com,Opete
23,Bassey,Bassey,828 641 6517,BasseyBassey@gmail.com,Opete
24,Precious,Client,829 641 6517,PreciousClient@gmail.com,Opete
25,Sly,Sly,830 641 6517,SlySly@gmail.com,Opete
26,Favour,Favour,831 641 6517,FavourFavour@gmail.com,Opete
27,Papa,Zeal,832 641 6517,PapaZeal@gmail.com,Opete
28,Collins,B.,833 641 6517,CollinsB.@gmail.com,Opete
29,King,Popo,834 641 6517,KingPopo@gmail.com,Opete
30,Abby,Ogaga,835 641 6517,AbbyOgaga@gmail.com,Refinary road
31,Ifie,Ifie,836 641 6517,IfieIfie@gmail.com,Opete
32,Zinny,Zinny,837 641 6517,ZinnyZinny@gmail.com,Opete
33,Scent,Appeal,838 641 6517,ScentAppeal@gmail.com,Opete
34,Chiomzy,Hair,839 641 6517,ChiomzyHair@gmail.com,Opete
35,Elo,Bella,840 641 6517,EloBella@gmail.com,Opete
36,Pinky,Luxury,841 641 6517,PinkyLuxury@gmail.com,Opete
37,Jane,Jane,842 641 6517,JaneJane@gmail.com,Opete
38,Blessing,Client,843 641 6517,BlessingClient@gmail.com,Opete
39,Gift,Glow,844 641 6517,GiftGlow@gmail.com,Opete
40,Onas,Onas,845 641 6517,OnasOnas@gmail.com,Pti
41,Golden,Kite,846 641 6517,GoldenKite@gmail.com,Ekpan
42,Hush,Hush,847 641 6517,HushHush@gmail.com,Pti
43,Bridget,Bridget,848 641 6517,BridgetBridget@gmail.com,Pti
44,Ella,Ella,849 641 6517,EllaElla@gmail.com,Pti
45,Stephen,Stephen,850 641 6517,StephenStephen@gmail.com,Pti
46,Chika,Chika,851 641 6517,ChikaChika@gmail.com,Pti
47,Joseph,Friend,852 641 6517,JosephFriend@gmail.com,Pti
48,Wemi,Wemi,853 641 6517,WemiWemi@gmail.com,Pti
49,Ego,Ego,854 641 6517,EgoEgo@gmail.com,Pti
50,Escanor,Escanor,855 641 6517,EscanorEscanor@gmail.com,Pti
51,Empress,Empress,856 641 6517,EmpressEmpress@gmail.com,Pti
52,Riri,Client,857 641 6517,RiriClient@gmail.com,Pti
53,Chika'S,Empire,858 641 6517,Chika'SEmpire@gmail.com,Pti
54,Gift,Otobo,859 641 6517,GiftOtobo@gmail.com,Pti
55,Sophisticated,Sophisticated,860 641 6517,SophisticatedSophisticated@gmail.com,Osubi
56,Chef,Preye,861 641 6517,ChefPreye@gmail.com,Osubi
57,Mrs,Benard,862 641 6517,MrsBenard@gmail.com,Osubi
58,Mrs,Span,863 641 6517,MrsSpan@gmail.com,Osubi
59,Juliet,Juliet,864 641 6517,JulietJuliet@gmail.com,Osubi
60,Amy'S,Empire,865 641 6517,Amy'SEmpire@gmail.com,Osubi
61,Happy,Hair,866 641 6517,HappyHair@gmail.com,Osubi
62,Success,Success,867 641 6517,SuccessSuccess@gmail.com,Osubi
63,Chantel,J.,868 641 6517,ChantelJ.@gmail.com,Osubi
64,Jenifer,Jenifer,869 641 6517,JeniferJenifer@gmail.com,Osubi
65,Eco,Client,870 641 6517,EcoClient@gmail.com,Osubi
66,Gift,Client,871 641 6517,GiftClient@gmail.com,Osubi
67,Kellz,Kellz,872 641 6517,KellzKellz@gmail.com,Osubi
68,Glow,Happy,873 641 6517,GlowHappy@gmail.com,Osubi
69,Royal,Cocktail,874 641 6517,RoyalCocktail@gmail.com,Osubi
70,Benny,Patrick,875 641 6517,BennyPatrick@gmail.com,Osubi
71,Kenzi,Kenzi,876 641 6517,KenziKenzi@gmail.com,Osubi
72,Billi,Client,877 641 6517,BilliClient@gmail.com,Osubi
73,Mickey,Luxury,878 641 6517,MickeyLuxury@gmail.com,Osubi
74,Napoleon,Napoleon,879 641 6517,NapoleonNapoleon@gmail.com,Osubi
75,Paradis,Vally,880 641 6517,ParadisVally@gmail.com,Osubi
76,Milla,Collection,881 641 6517,MillaCollection@gmail.com,Osubi
77,Clean,Claire,882 641 6517,CleanClaire@gmail.com,Osubi
78,Faviana,Faviana,883 641 6517,FavianaFaviana@gmail.com,Osubi
79,Callie'S,B,884 641 6517,Callie'SB@gmail.com,Osubi
